weekendingdate,jurisdiction,totalconfc19newadm,totalconfc19newadmadult,totalconfc19newadmped,totalconfflunewadm,numconfc19newadmadult18to49,numconfc19newadmunk,numconfc19newadmped0to4,numconfc19newadmped5to17,totalconfflunewadmadult,totalconfflunewadmped,totalconfrsvnewadm,totalconfrsvnewadmadult,totalconfrsvnewadmped,numconfc19newadmadult50to64,numconfc19newadmadult65to74,numconfc19newadmadult75plus,numconfflunewadmped0to4,numconfflunewadmped5to17,numconfflunewadmadult18to49,numconfflunewadmadult50to64,numconfflunewadmadult65to74,numconfflunewadmadult75plus,numconfflunewadmunk,numconfrsvnewadmped0to4,numconfrsvnewadmped5to17,numconfrsvnewadmadult18to49,numconfrsvnewadmadult50to64,numconfrsvnewadmadult65to74,numconfrsvnewadmadult75plus,numconfrsvnewadmunk
2024-04-20,DC,13.0,10.0,3.0,14.0,3.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2025-07-12,DC,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-23,KY,166.0,163.0,3.0,82.0,42.0,15.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2024-02-10,KY,272.0,261.0,11.0,284.0,32.0,13.0,6.0,4.0,5.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
2022-04-23,MN,237.0,219.0,18.0,33.0,50.0,0.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,MN,555.0,525.0,30.0,345.0,104.0,0.0,19.0,11.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-15,NJ,177.0,177.0,0.0,,82.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-16,NJ,1134.0,1097.0,37.0,17.0,230.0,15.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-27,NJ,897.0,861.0,36.0,345.0,118.0,16.0,16.0,14.0,,,,,,,,,,,,,,,,,,,,,,
2024-06-22,NJ,273.0,265.0,8.0,16.0,54.0,15.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2022-06-04,OR,354.0,331.0,23.0,28.0,81.0,16.0,11.0,9.0,,,,,,,,,,,,,,,,,,,,,,
2022-06-11,OR,344.0,335.0,9.0,18.0,83.0,7.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2024-11-16,OR,75.0,73.0,2.0,35.0,9.0,0.0,2.0,0.0,32.0,3.0,4.0,2.0,2.0,13.0,16.0,35.0,1.0,2.0,2.0,10.0,9.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
2023-03-18,RI,46.0,44.0,2.0,1.0,4.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,SC,817.0,806.0,11.0,7.0,145.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,VA,428.0,421.0,7.0,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-23,VA,846.0,803.0,43.0,16.0,203.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-22,VA,178.0,176.0,2.0,45.0,25.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2023-06-10,VA,83.0,82.0,1.0,27.0,12.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-09-21,VA,181.0,169.0,12.0,4.0,26.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2022-05-14,WY,21.0,19.0,2.0,4.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-10-26,AZ,419.0,414.0,5.0,187.0,51.0,0.0,1.0,4.0,186.0,1.0,0.0,0.0,0.0,76.0,126.0,161.0,0.0,1.0,60.0,61.0,44.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14,DC,120.0,111.0,9.0,0.0,28.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-06,KY,2358.0,2353.0,5.0,2.0,208.0,552.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,KY,2288.0,2271.0,17.0,2.0,691.0,826.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-29,KY,91.0,88.0,3.0,9.0,8.0,7.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2023-10-14,KY,241.0,237.0,4.0,23.0,18.0,5.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2023-12-23,NJ,980.0,937.0,43.0,488.0,101.0,21.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2021-03-20,RI,62.0,62.0,0.0,0.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-08,SC,277.0,273.0,4.0,33.0,38.0,12.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,VA,3337.0,3239.0,98.0,37.0,843.0,105.0,20.0,22.0,,,,,,,,,,,,,,,,,,,,,,
2021-10-23,WY,235.0,231.0,4.0,0.0,57.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-24,DC,33.0,28.0,5.0,0.0,5.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2025-05-03,DC,8.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-22,LA,1121.0,1117.0,4.0,,64.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-20,LA,292.0,282.0,10.0,4.0,63.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-16,LA,1291.0,1217.0,74.0,4.0,235.0,30.0,45.0,23.0,,,,,,,,,,,,,,,,,,,,,,
2023-03-18,LA,213.0,204.0,9.0,17.0,22.0,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,NJ,1575.0,1560.0,15.0,9.0,315.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,OR,133.0,132.0,1.0,0.0,29.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-14,OR,308.0,302.0,6.0,0.0,68.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-18,OR,220.0,215.0,5.0,9.0,28.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2025-02-08,OR,69.0,67.0,2.0,565.0,5.0,0.0,2.0,0.0,479.0,86.0,191.0,114.0,77.0,9.0,13.0,40.0,28.0,58.0,115.0,107.0,103.0,154.0,0.0,61.0,16.0,19.0,19.0,19.0,57.0,0.0
2021-08-21,RI,97.0,96.0,1.0,0.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-02,RI,19.0,19.0,0.0,27.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-09-21,SC,87.0,83.0,4.0,1.0,16.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2025-01-11,SC,177.0,172.0,5.0,430.0,27.0,0.0,3.0,2.0,406.0,22.0,212.0,163.0,49.0,23.0,42.0,80.0,13.0,9.0,73.0,92.0,99.0,142.0,2.0,44.0,5.0,17.0,36.0,44.0,66.0,0.0
2025-04-26,WY,13.0,12.0,1.0,6.0,0.0,0.0,1.0,0.0,6.0,0.0,4.0,3.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
2023-06-10,AZ,178.0,167.0,11.0,61.0,18.0,0.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2023-11-04,AZ,421.0,402.0,19.0,51.0,42.0,3.0,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,
2020-09-19,DC,52.0,47.0,5.0,,12.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,DC,129.0,105.0,24.0,40.0,34.0,0.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2022-04-16,KY,178.0,174.0,4.0,105.0,38.0,18.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2023-06-10,LA,130.0,125.0,5.0,14.0,15.0,27.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,MN,388.0,377.0,11.0,12.0,94.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-08,NJ,450.0,431.0,19.0,1888.0,55.0,0.0,13.0,6.0,1744.0,144.0,218.0,176.0,42.0,61.0,70.0,245.0,63.0,81.0,272.0,350.0,403.0,719.0,0.0,36.0,6.0,16.0,24.0,36.0,100.0,0.0
2021-09-11,OR,854.0,843.0,11.0,2.0,234.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-15,OR,46.0,44.0,2.0,184.0,3.0,0.0,1.0,1.0,157.0,27.0,109.0,70.0,39.0,6.0,9.0,26.0,9.0,18.0,32.0,42.0,36.0,47.0,0.0,28.0,11.0,7.0,12.0,23.0,28.0,0.0
2025-07-12,OR,39.0,39.0,0.0,7.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,8.0,22.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-28,RI,249.0,246.0,3.0,0.0,36.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-19,VA,86.0,82.0,4.0,15.0,9.0,0.0,3.0,1.0,15.0,0.0,4.0,1.0,3.0,10.0,23.0,40.0,0.0,0.0,2.0,4.0,3.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-06,DC,107.0,95.0,12.0,0.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,DC,122.0,116.0,6.0,0.0,42.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-11,KY,1621.0,1597.0,24.0,3.0,291.0,510.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-03,KY,286.0,275.0,11.0,225.0,24.0,17.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2022-03-12,LA,333.0,321.0,12.0,62.0,79.0,9.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2021-02-27,MN,262.0,250.0,12.0,8.0,73.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13,MN,573.0,537.0,36.0,5.0,158.0,3.0,18.0,15.0,,,,,,,,,,,,,,,,,,,,,,
2022-10-15,MN,394.0,379.0,15.0,3.0,83.0,0.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,
2023-11-18,MN,389.0,375.0,14.0,15.0,51.0,0.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2025-06-14,MN,19.0,19.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,1.0,4.0,3.0,12.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-01-16,NJ,2968.0,2939.0,29.0,6.0,446.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-18,NJ,155.0,153.0,2.0,32.0,21.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2023-06-24,OR,70.0,68.0,2.0,5.0,15.0,7.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,RI,102.0,98.0,4.0,2.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-17,RI,112.0,110.0,2.0,41.0,20.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-06-05,DC,51.0,44.0,7.0,0.0,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,NJ,995.0,978.0,17.0,3.0,292.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-30,NJ,573.0,564.0,9.0,2.0,141.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-30,NJ,247.0,224.0,23.0,188.0,27.0,31.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,RI,95.0,94.0,1.0,0.0,22.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-02-10,RI,64.0,61.0,3.0,21.0,12.0,0.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,
2021-02-13,WY,69.0,66.0,3.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-03,AZ,403.0,391.0,12.0,343.0,44.0,0.0,9.0,3.0,2.0,0.0,9.0,4.0,5.0,,,,,,,,,,,,,,,,,
2024-05-18,AZ,77.0,75.0,2.0,66.0,8.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,
2024-07-27,KY,26.0,25.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2022-05-14,LA,211.0,205.0,6.0,32.0,62.0,6.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2023-09-09,LA,420.0,388.0,32.0,11.0,53.0,30.0,18.0,11.0,,,,,,,,,,,,,,,,,,,,,,
2023-11-18,LA,159.0,145.0,14.0,96.0,11.0,3.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,MN,300.0,279.0,21.0,29.0,77.0,0.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,NJ,5555.0,5431.0,124.0,26.0,1075.0,234.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2025-06-07,NJ,127.0,123.0,4.0,26.0,17.0,0.0,4.0,0.0,24.0,2.0,12.0,7.0,5.0,15.0,28.0,63.0,0.0,2.0,8.0,0.0,7.0,9.0,0.0,5.0,0.0,0.0,2.0,2.0,3.0,0.0
2022-02-26,OR,478.0,447.0,31.0,4.0,124.0,14.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,
2022-05-14,OR,255.0,247.0,8.0,26.0,56.0,6.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,
2022-06-18,OR,369.0,352.0,17.0,12.0,86.0,6.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,
2021-06-26,SC,85.0,83.0,2.0,0.0,32.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-28,SC,45.0,41.0,4.0,16.0,7.0,0.0,3.0,1.0,15.0,1.0,3.0,2.0,1.0,4.0,7.0,23.0,1.0,0.0,6.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-03-27,VA,803.0,772.0,31.0,26.0,191.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-19,WY,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-13,AZ,599.0,590.0,9.0,0.0,155.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-21,DC,93.0,78.0,15.0,4.0,29.0,15.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,
2024-11-09,DC,9.0,9.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,15.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0
2024-01-13,KY,489.0,478.0,11.0,240.0,38.0,36.0,10.0,1.0,2.0,0.0,3.0,3.0,0.0,,,,,,,,,,,,,,,,,
2021-08-28,LA,2943.0,2858.0,85.0,11.0,853.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-17,NJ,268.0,264.0,4.0,2.0,82.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-01,NJ,1015.0,981.0,34.0,21.0,177.0,7.0,11.0,17.0,,,,,,,,,,,,,,,,,,,,,,
2022-05-07,OR,214.0,197.0,17.0,27.0,43.0,5.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,
2022-09-10,OR,301.0,289.0,12.0,1.0,73.0,2.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,RI,48.0,48.0,0.0,2.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,VA,1802.0,1778.0,24.0,18.0,318.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-15,VA,517.0,495.0,22.0,53.0,82.0,7.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,
2023-08-19,WY,23.0,22.0,1.0,0.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,WY,31.0,29.0,2.0,2.0,5.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2020-08-08,AZ,1658.0,1645.0,13.0,,209.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,DC,45.0,36.0,9.0,0.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-18,DC,65.0,56.0,9.0,5.0,20.0,0.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,
2022-09-10,LA,615.0,579.0,36.0,16.0,78.0,12.0,21.0,13.0,,,,,,,,,,,,,,,,,,,,,,
2023-03-18,MN,267.0,247.0,20.0,6.0,43.0,0.0,17.0,3.0,,,,,,,,,,,,,,,,,,,,,,
2023-08-05,MN,77.0,76.0,1.0,2.0,10.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2024-11-23,MN,142.0,135.0,7.0,11.0,18.0,0.0,4.0,3.0,10.0,1.0,15.0,4.0,11.0,9.0,32.0,76.0,0.0,1.0,1.0,2.0,3.0,4.0,0.0,8.0,3.0,0.0,2.0,1.0,1.0,0.0
2021-04-24,NJ,1608.0,1568.0,40.0,10.0,390.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-13,NJ,373.0,367.0,6.0,23.0,45.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2023-07-29,RI,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2024-08-03,SC,106.0,98.0,8.0,22.0,16.0,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2023-08-19,VA,302.0,296.0,6.0,35.0,44.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,AZ,1730.0,1694.0,36.0,3.0,347.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,LA,83.0,77.0,6.0,1.0,8.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2024-07-20,MN,2.0,2.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-21,NJ,966.0,917.0,49.0,87.0,172.0,19.0,18.0,20.0,,,,,,,,,,,,,,,,,,,,,,
2023-09-09,NJ,450.0,429.0,21.0,13.0,56.0,9.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,
2023-01-14,OR,277.0,273.0,4.0,65.0,42.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,OR,41.0,39.0,2.0,95.0,5.0,0.0,0.0,2.0,88.0,7.0,77.0,57.0,20.0,5.0,13.0,16.0,2.0,5.0,15.0,20.0,20.0,33.0,0.0,19.0,1.0,9.0,9.0,13.0,26.0,0.0
2023-11-25,RI,44.0,44.0,0.0,3.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2023-12-30,RI,111.0,110.0,1.0,46.0,14.0,1.0,1.0,0.0,15.0,0.0,8.0,8.0,0.0,,,,,,,,,,,,,,,,,
2023-12-30,SC,505.0,497.0,8.0,649.0,57.0,5.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
